Febbraio,Tra gennaio e marzo nel calendario di velocità e dell'amore
Gennaio,Il primo mese dell'anno nuovo
Febbraio,Il mese più breve con ventotto giorni
Febbraio,L'ultimo mese per gli antichi romani
Febbraio,Ha ventinove giorni negli anni bisestili
Marzo,Il mese che porta la primavera
Marzo,Il terzo mese dell'anno solare
Aprile,Il mese delle piogge e dei fiori
Aprile,Il quarto mese del calendario
Maggio,Il mese più bello secondo il detto
Giugno,Il mese del solstizio d'estate
Giugno,Il sesto mese del calendario
Luglio,Il mese più caldo dell'anno
Agosto,Il mese delle ferie e del mare
Settembre,Il mese che riporta al lavoro
Ottobre,Il mese delle foglie colorate
Ottobre,Il decimo mese del calendario
Novembre,Il mese dei defunti e della nebbia
Dicembre,Il mese del Natale e delle feste
Lunedì,Il primo giorno della settimana
Martedì,Il secondo giorno della settimana
Mercoledì,Il terzo giorno della settimana
Giovedì,Il quarto giorno della settimana
Venerdì,Il quinto giorno della settimana
Sabato,Il sesto giorno della settimana
Sabato,Il primo giorno del weekend
Domenica,Il giorno del riposo e della chiesa
Domenica,Il settimo giorno della settimana
Weekend,Il fine settimana di sabato e domenica
Festivo,Il giorno in cui non si lavora
Feriale,Il giorno in cui si lavora normalmente
Vacanza,Il periodo in cui non si lavora
Natale,La festa più attesa dell'anno
Pasqua,La festa mobile della primavera
Estate,La stagione del mare e del sole
Inverno,La stagione fredda con la neve
Primavera,La stagione dei fiori e del risveglio
Autunno,La stagione delle foglie che cadono
Giorno,Il periodo di luce tra alba e tramonto
Riso,È lanciato agli sposi per augurio
Riso,Bianco o integrale si cucina al dente
Riso,Per una saporita paella è essenziale
Riso,Cresce nelle risaie allagate d'acqua
Riso,Base del sushi giapponese tradizionale
Pasta,Il piatto forte della cucina italiana
Pasta,Si mangia con il sugo o in bianco
Pasta,Lunga corta fresca o secca si trova
Pizza,Il cibo italiano più famoso al mondo
Pizza,Rotonda con pomodoro mozzarella e basilico
Pizza,Si mangia calda filante e profumata
Pizza,Margherita è la classica napoletana
Pane,Non manca mai sulla tavola italiana
Pane,Si dice che sia buono anche quello
Pane,Fresco croccante o raffermo si usa
Pane,Di grano integrale o bianco si trova
Acqua,Il liquido essenziale per la vita
Acqua,Liscia o gassata si beve per dissetarsi
Acqua,In bottiglia o del rubinetto si beve
Vino,Il bianco va servito sempre freddo
Vino,Prodotto dall'uva fermentata nei tini
Vino,Rosso bianco o rosato si degusta
Vino,Invecchiando nelle botti diventa prezioso
Caffè,La bevanda preferita dagli italiani
Caffè,Si prende corto caldo e zuccherato
Caffè,Con la moka si fa quello buono
Caffè,Espresso americano o macchiato si ordina
Tè,La bevanda calda che viene dall'Oriente
Tè,Verde nero o alle erbe si beve
Cioccolata,Il dolce marrone che piace ai bambini
Cioccolata,Fondente al latte o bianca si trova
Gelato,Il dolce freddo delle estati italiane
Gelato,Alla frutta o alla crema si sceglie
Limone,Giallo e profumato ricco di vitamina
Limone,Dal succo aspre e pungente si usa
Limone,Con la buccia si fanno liquori digestivi
Arancia,Il frutto arancione ricco di vitamina
Arancia,Si mangia a spicchi o si beve in succo
Mela,Il frutto che tiene lontano il dottore
Mela,Rossa verde o gialla si mangia
Banana,Il frutto curvo ricco di potassio
Banana,Si sbuccia prima di mangiare
Pera,Il frutto dolce con la buccia sottile
Pesca,Il frutto estivo con la buccia pelosa
Anguria,Il frutto estivo rosso e dissetante
Melone,Il frutto estivo con la polpa dolce
Fragola,Il frutto rosso con i semini fuori
Ciliegia,Il frutto rosso con il picciolo verde
Uva,Il frutto che si trasforma in vino
Uva,Nera o bianca sui grappoli cresce
Fico,Il frutto dolce con i semini dentro
Noce,Il frutto secco con il guscio duro
Mandorla,La frutta secca bianca e croccante
Nocciola,La frutta secca tonda e marroncina
Pistacchio,La frutta secca verde e saporita
Olio,Il liquido d'oro della cucina mediterranea
Olio,Si estrae dalle olive con il frantoio
Olio,Di oliva extravergine è il migliore
Burro,Il grasso animale per dolci e paste
Burro,Di mucca si fa e si usa nei dolci
Formaggio,Il latticino che si fa con il latte
Formaggio,Stagionato fresco o erboronato si trova
Mozzarella,Il formaggio bianco elastico e filante
Parmigiano,Il formaggio stagionato da grattugiare
Gorgonzola,Il formaggio blu con le muffe buone
Provolone,Il formaggio a pasta filata stagionato
Ricotta,Il latticino fresco bianco e cremoso
Yogurt,Il latticino fermentato con i probiotici
Latte,Il liquido bianco che bevono i bambini
Latte,Di mucca di capra o vegetale si trova
Uovo,Si rompe per fare la frittata
Uovo,Ha il guscio la chiara e il tuorlo
Uovo,Sodo alla coque o in frittata si mangia
Uovo,Di gallina di anatra o di struzzo
Carne,La proteina animale rossa o bianca
Manzo,La carne bovina rossa e saporita
Maiale,La carne del porco grassa e gustosa
Pollo,La carne bianca del volatile da cortile
Tacchino,La carne bianca del volatile americano
Coniglio,La carne bianca tenera e delicata
Agnello,La carne dell'ovino giovane e tenera
Pesce,L'animale che vive nell'acqua salata
Salmone,Il pesce rosa ricco di omega tre
Tonno,Il pesce grande che si conserva sott'olio
Merluzzo,Il pesce bianco magro e delicato
Orata,Il pesce pregiato dal sapore delicato
Branzino,Il pesce nobile dalle carni bianche
Sarde,I pesci piccoli azzurri e saporiti
Acciughe,I pesciolini azzurri sotto sale
Polpo,Il mollusco con otto lunghi tentacoli
Calamaro,Il mollusco con i tentacoli e gli occhi
Seppia,Il mollusco che fa l'inchiostro nero
Cozza,Il mollusco bivalve che si attacca
Vongola,Il mollusco bivalve che vive nella sabbia
Ostrica,Il mollusco pregiato che si mangia crudo
Gambero,Il crostaceo rosa che vive in mare
Scampo,Il crostaceo pregiato simile all'aragosta
Aragosta,Il crostaceo grande con le chele
Granchio,Il crostaceo che cammina di lato
Carciofo,La verdura con le foglie a punta
Melanzana,La verdura viola della parmigiana
Zucchina,La verdura verde lunga e sottile
Pomodoro,Il frutto rosso della pizza e pasta
Pomodoro,San Marzano è il migliore per il sugo
Cipolla,La verdura che fa piangere quando si taglia
Aglio,L'aroma che allontana le vampire
Patata,La verdura tubero che si frigge
Patata,In padella al forno o fritta si mangia
Insalata,La verdura verde che si mangia cruda
Lattuga,La verdura a foglia larga e verde
Spinaci,La verdura verde che piace a Braccio di Ferro
Broccoli,La verdura verde a forma di alberello
Cavolo,La verdura a foglia grande e verde
Verza,La verdura a foglia riccia e verde
Radicchio,La verdura rossa dal sapore amaro
Finocchio,La verdura bianca croccante e profumata
Sedano,La verdura verde con i fili lunghi
Carota,La verdura arancione che piace ai conigli
Barbabietola,La verdura rossa dolce e terrosa
Zucca,La verdura arancione di Halloween
Peperone,La verdura colorata a forma di campana
Fagiolini,I legumi verdi lunghi e sottili
Fagioli,I legumi che fanno fare le ruttine
Ceci,I legumi tondi per l'hummus
Lenticchie,I legumi piccoli che portano fortuna
Piselli,I legumi verdi dolci e tondi
Fave,I legumi grandi con il baccello
Soia,Il legume da cui si fa il latte
Grano,Il cereale da cui si fa la farina
Orzo,Il cereale per la birra e il caffè
Avena,Il cereale per la colazione sana
Farina,La polvere bianca per fare il pane
Farina,Di grano tenero o duro si usa
Sale,Il condimento bianco che dà sapore
Pepe,Il condimento nero che pizzica
Peperoncino,Il condimento rosso che brucia
Zucchero,Il condimento bianco dolce per i dolci
Miele,Il condimento dolce fatto dalle api
Aceto,Il liquido acido per condire l'insalata
Senape,La salsa gialla piccante per i wurstel
Ketchup,La salsa rossa di pomodoro per le patatine
Maionese,La salsa bianca cremosa per le insalate
Pesto,La salsa verde di basilico genovese
Sugo,La salsa di pomodoro per la pasta
Ragà¹¹,Il sugo di carne per la pasta
Besciamella,La salsa bianca per le lasagne
Zuppa,Il piatto liquido caldo con verdure
Minestra,Il piatto caldo con pasta e verdure
Vellutata,La zuppa cremosa e liscia
Brodo,Il liquido di cottura della carne
Torta,Il dolce da forno per le feste
Dolce,Il cibo buono alla fine del pasto
Biscotto,Il dolce secco per la colazione
Cornetto,Il dolce lievitato per il cappuccino
Brioche,Il dolce lievitato francese dolce
Cannolo,Il dolce siciliano con la ricotta
Tiramisà¹¹,Il dolce al caffè con mascarpone e savoiardi
Panna,La crema bianca per i dolci
Cioccolato,Il dolce marrone che scioglie in bocca
Cane,Il migliore amico dell'uomo fedele
Cane,Abbaia e fa le fusa quando è contento
Gatto,Il felino domestico che fa le fusa
Gatto,Caccia i topi e ama dormire
Topo,Il piccolo roditore che ama il formaggio
Topo,Il nemico del gatto nelle case
Cavallo,L'animale grande che si cavalca
Cavallo,Ha quattro zampe e la criniera
Mucca,L'animale che fa il latte bianco
Mucca,Fa muu e dà il latte per i formaggi
Pecora,L'animale con la lana bianca
Pecora,Fa beee e vive nei pascoli
Capra,L'animale che scala le montagne
Capra,Ha le corna e la barba
Maiale,L'animale rosa che ama il fango
Maiale,Da lui si ricava la carne di
Gallina,L'animale che fa le uova
Gallina,Fa coccodè e vive nel pollaio
Gallo,Il maschio della gallina che canta
Gallo,Fa chicchirichì al mattino presto
Anatra,L'uccello acquatico che fa qua qua
Anatra,Ha le piume e nuota nell'acqua
Oca,L'uccello grande che fa oca oca
Oca,È più grande dell'anatra selvatica
Coniglio,Il piccolo animale con le orecchie lunghe
Coniglio,Salta e mangia carote e insalata
Lepre,Il cugino selvatico del coniglio
Lepre,Corre veloce nei campi aperti
Orso,Il grande mammifero della foresta
Orso,Va in letargo durante l'inverno
Lupo,Il canide selvatico che ulula
Lupo,Vive in branco e caccia in gruppo
Volpe,Il canide astuto dal pelo rosso
Volpe,È furba e vive nei boschi
Cervo,Il grande animale con le corna
Cervo,Il re della foresta con i palchi
Cinghiale,Il maiale selvatico dei boschi
Cinghiale,Ha le zanne e vive nella macchia
Istrice,Il roditore con gli aculei
Istrice,Si appallottola quando ha paura
Scoiattolo,Il piccolo roditore con la coda
Scoiattolo,Raccoglie le noci per l'inverno
Riccio,Il piccolo animale con gli aculei
Riccio,Si appallottola quando è spaventato
Talpa,Il piccolo animale che vive sottoterra
Pipistrello,Il mammifero che vola di notte
Pipistrello,Esce al tramonto e caccia insetti
Balena,Il più grande animale del mondo
Delfino,Salta fuori dall'acqua e gioca
Foca,Il mammifero marino con le pinne
Foca,Vive sui ghiacci del nord
Pinguino,L'uccello che non vola ma nuota
Aquila,Volta alta e ha una vista eccezionale
Gufo,L'uccello notturno che fa uhu
Civetta,Il piccolo gufo di campagna
Civetta,Fa il verso di notte nei campi
Pettiroso,Il piccolo uccello dal petto rosso
Merlo,Ha il becco giallo e nero
Colomba,L'uccello bianco simbolo di pace
Colomba,Volta in stormo e torna a casa
Piccione,Vive nelle piazze e sui palazzi
Gabbiano,Volta sulle onde e grida
Pappagallo,Ripete le parole che sente
Struzzo,L'uccello grande che non vola
Struzzo,Corre veloce e nasconde la testa
Pavone,L'uccello con la coda colorata
Pavone,Apre le piume a ventaglio
Fagiano,Vive nei boschi e nei campi
Tacchino,Il grande uccello da cortile
Tacchino,Si mangia a Natale in America
Cigno,Nuota nei laghi e nei fiumi
Pellicano,L'uccello con il becco a sacca
Pellicano,Pesca con il grande becco
Flamingo,L'uccello rosa che sta su una zampa
Avvoltoio,L'uccello spazzino che mangia carogne
Avvoltoio,Gira in cerchio nel cielo
Condor,Il grande uccello delle Ande
Condor,Il più grande uccello volatore
Serpente,Il rettile lungo senza zampe
Serpente,Striscia e può essere velenoso
Lucertola,Il piccolo rettile che corre
Lucertola,Perde la coda quando è spaventata
Camaleonte,Il rettile che cambia colore
Camaleonte,Ha gli occhi che si muovono indipendenti
Coccodrillo,Il grande rettile dei fiumi
Coccodrillo,Ha i denti grandi e la pelle dura
Tartaruga,Il rettile con il guscio
Tartaruga,Cammina lenta e vive a lungo
Rana,L'amfibio che salta e grida
Rana,Vive nell'acqua e sulla terra
Rospo,La rana con la pelle rugosa
Rospo,Vive nei luoghi umidi e bui
Tavolo,Il mobile con le gambe per mangiare
Tavolo,Ci si mette sopra per pranzare
Sedia,Il mobile con quattro gambe per sedersi
Sedia,Ha lo schienale e si usa per sedersi
Poltrona,La sedia comoda per il salotto
Poltrona,Ci si siede e si guarda la TV
Divano,Il mobile grande per sedersi in più
Divano,Ci si siede in famiglia la sera
Letto,Il mobile dove si dorme la notte
Letto,Ha il materasso e i cuscini
Materasso,La parte morbida dove si dorme
Materasso,Sta sopra le molle del letto
Cuscino,La cosa morbida per la testa
Cuscino,Si mette sul letto per dormire
Coperta,Il tessuto caldo per coprirsi
Coperta,Si usa d'inverno quando fa freddo
Lenzuola,I tessuti bianchi per il letto
Lenzuola,Si cambiano una volta alla settimana
Armadio,Il mobile alto per i vestiti
Armadio,Ci si appendono i vestiti dentro
Cassettiera,Il mobile con i cassetti
Cassettiera,Ci si mettono le cose piccole
Specchio,Il vetro che riflette l'immagine
Specchio,Ci si guarda per pettinarsi
Lampada,L'oggetto che fa luce la sera
Lampada,Si accende quando fa buio
Lampadina,La parte che fa luce nella lampada
Lampadario,La lampada grande del soffitto
Lampadario,Pende dal soffitto e illumina
Tenda,Si tira per fare buio in camera
Tappeto,Il tessuto per terra nel salotto
Tappeto,Ci si cammina sopra scalzi
Quadro,La pittura appesa al muro
Quadro,Decora le pareti della casa
Orologio,L'oggetto che segna le ore
Orologio,Si guarda per sapere che ora è
Sveglia,L'orologio che suona al mattino
Sveglia,Ci sveglia quando dobbiamo andare
Radio,Si ascolta la mattina per le notizie
Televisione,Lo schermo per vedere i programmi
Televisione,Si guarda la sera dopo cena
Telecomando,Si punta verso la TV
Telefono,L'apparecchio per parlare a distanza
Telefono,Si usa per chiamare gli amici
Computer,La macchina per lavorare e studiare
Computer,Ha lo schermo la tastiera e il mouse
Tastiera,La parte con i tasti del computer
Tastiera,Si usa per scrivere al computer
Mouse,L'oggetto che si muove sul tavolo
Mouse,Si clicca per selezionare le cose
Schermo,La parte del computer che si guarda
Schermo,Mostra le immagini e le parole
Libro,L'oggetto con le pagine da leggere
Libro,Si apre e si legge la sera
Libreria,Il mobile per i libri
Libreria,Ci si mettono i libri in ordine
Scaffale,Il mobile con i ripiani
Scaffale,Ci si appoggiano le cose
Vaso,Il contenitore per i fiori
Vaso,Si mette sul tavolo con i fiori
Fiore,Si mette nel vaso per decorare
Pianta,L'essere vivente verde in vaso
Pianta,Si innaffia per farla crescere
Pettine,Si passa tra i capelli per ordinarli
Spazzola,Si usa dopo il pettine
Asciugacapelli,L'apparecchio per asciugare i capelli
Asciugacapelli,Soffia aria calda sui capelli
Sapone,La cosa per lavarsi le mani
Sapone,Fa la schiuma con l'acqua
Shampoo,Il sapone per i capelli
Shampoo,Si usa sotto la doccia
Spazzolino,Si usa con il dentifricio
Dentifricio,La pasta per lavare i denti
Asciugamano,Si usa dopo la doccia
Accappatoio,Il vestito per dopo la doccia
Accappatoio,Si mette quando si esce dall'acqua
Doccia,Il posto dove si lava il corpo
Doccia,Si fa sotto l'acqua che cade
Vasca,La grande per fare il bagno
Vasca,Ci si entra per fare il bagno
Rubinetto,L'oggetto da cui esce l'acqua
Rubinetto,Si gira per far uscire l'acqua
Water,Il sanitario per i bisogni
Water,Si abbassa il coperchio dopo
Bidet,Si usa dopo il water
Lavandino,Il sanitario per lavarsi le mani
Lavandino,Ha il rubinetto e lo scarico
Frigorifero,L'apparecchio per il cibo freddo
Frigorifero,Ci si mette il latte e la carne
Congelatore,La parte molto fredda del frigo
Congelatore,Ci si mette il gelato
Forno,Ci si mette la pizza e la torta
Fornello,La parte per cuocere le pentole
Fornello,Ci si mette la pentola sopra
Pentola,Si mette sul fuoco per cucinare
Padella,La pentola bassa per friggere
Padella,Ci si fanno le uova e la carne
Coperchio,La parte che copre la pentola
Coperchio,Si mette sopra per non far uscire
Cucchiaio,Si usa per la minestra e il risotto
Forchetta,Si usa per la pasta e la carne
Coltello,Si usa per la carne e il pane
Piatto,Il contenitore per il cibo
Piatto,Ci si mette la pasta e la carne
Bicchiere,Ci si mette l'acqua e il vino
Tovaglia,Il tessuto per la tavola
Tovaglia,Si mette sul tavolo per mangiare
Tovagliolo,Il tessuto per pulirsi la bocca
Tovagliolo,Si usa durante il pasto
Scopa,L'oggetto per pulire il pavimento
Scopa,Si usa per raccogliere la polvere
Aspirapolvere,Aspira la polvere dal pavimento
Mocio,L'oggetto per lavare il pavimento
Mocio,Si usa con l'acqua e il detersivo
Secchio,Ci si mette l'acqua per lavare
Detersivo,Si usa per lavare i piatti
Lavatrice,La macchina per i vestiti
Lavatrice,Ci si mettono i panni sporchi
Stendino,L'oggetto per stendere i panni
Stendino,Ci si appendono i panni bagnati
Ferro,Si usa caldo per stirare i panni
Asse,Ci si mette sopra per stirare
